company,emotion,modality,hedges_g,ci_low,ci_high,p_value
WBD,fear,text,-0.485781040439027,-0.883448572299557,-0.08811350857849698,0.016974984149838133
BKR,happy,audio,0.11069005917467299,-0.1554452735959892,0.3768253919453352,0.41610216489314483
BKR,happy,text,-0.06709255928934019,-0.33310271996317553,0.19891760138449519,0.6277614728341718
BKR,neutral,audio,0.10520848311380462,-0.16090774121626492,0.37132470744387414,0.44662376712411234
BKR,neutral,text,0.27068437140084234,0.0035656866145435395,0.5378030561871412,0.04828700117304724
BKR,surprise,audio,-0.31135559880293734,-0.5788548089704265,-0.04385638863544816,0.02847007592474596
BKR,surprise,text,-0.009242407866196558,-0.27518122657364436,0.2566964108412512,0.9460444963176313
BKR,disgust,audio,0.2881849501489343,0.020908980253392273,0.5554609200444763,0.029942278068182983
BKR,disgust,text,-0.20171830596684376,-0.4683123920196615,0.064875780085974,0.14039984702650357
BKR,anger,audio,-0.15355316293912274,-0.41987130271778805,0.11276497683954256,0.27119701399830143
BKR,anger,text,-0.17341234547410472,-0.4398352304694799,0.09301053952127047,0.21145401379509862
BKR,sadness,audio,0.11620896644870715,-0.14994658364883823,0.38236451654625253,0.40148834732885513
BKR,sadness,text,-0.11824746850189098,-0.384410734533806,0.14791579753002398,0.38410746174148097
BKR,fear,audio,0.1643983722479582,-0.10197539762498051,0.4307721421208969,0.24582832934289087
BKR,fear,text,-0.1010571853451538,-0.3671595833171312,0.16504521262682365,0.45805211074787094
SBAC,happy,audio,0.14566342797288856,-0.12020017235751157,0.4115270283032887,0.2833510101948694
SBAC,happy,text,0.06915553593551327,-0.19643243068875532,0.33474350255978186,0.6103025357632746
SBAC,neutral,audio,-0.0385358063600727,-0.3040684371886318,0.2269968244684864,0.7750255854734384
SBAC,neutral,text,0.0412262805532936,-0.2243099518436252,0.3067625129502124,0.7625321284834987
SBAC,surprise,audio,0.01859132803868355,-0.24692218005394959,0.2841048361313167,0.8896908975632402
SBAC,surprise,text,-0.2567092188837385,-0.5233207276002669,0.009902289832790012,0.05916238811843422
SBAC,disgust,audio,-0.04158403125620679,-0.3071207608494244,0.2239526983370108,0.7583493185386654
SBAC,disgust,text,-0.34911716552120553,-0.6166628005922139,-0.08157153045019722,0.010637794879527958
SBAC,anger,audio,-0.16797932981620667,-0.43396022587578165,0.09800156624336831,0.21493506306837523
SBAC,anger,text,-0.09458459661697748,-0.36024241978862864,0.17107322655467366,0.4876124539362916
SBAC,sadness,audio,0.04540774013362165,-0.22013457186012653,0.3109500521273698,0.7367737008176212
SBAC,sadness,text,0.12563487034846982,-0.14013763395430928,0.3914073746512489,0.35546709848244806
SBAC,fear,audio,0.012109690857768718,-0.25340047727857157,0.27761985899410896,0.928112497975609
SBAC,fear,text,0.29615157551520876,0.029175824515130788,0.5631273265152867,0.029576206415004143
ABT,happy,audio,0.1995155439669049,-0.06828859786262698,0.4673196857964368,0.14198286866562526
ABT,happy,text,0.02333114415035268,-0.24386673625155234,0.2905290245522577,0.8647540307438458
ABT,neutral,audio,-0.05625530672300385,-0.323493691289695,0.21098307784368733,0.6891146405099597
ABT,neutral,text,0.08947820402297169,-0.17783500594034857,0.35679141398629194,0.5209672362179488
ABT,surprise,audio,-0.0802419405644116,-0.34753092681581726,0.1870470456869941,0.5720746328975935
ABT,surprise,text,0.1293543274709967,-0.13809368768845773,0.3968023426304511,0.34793591033940735
ABT,disgust,audio,-0.14054401914649234,-0.4080386736924785,0.1269506353994938,0.32375855941033155
ABT,disgust,text,0.0026483435349169697,-0.2645412302267742,0.2698379172966082,0.9844832782196848
ABT,anger,audio,0.14291410509940647,-0.12459092332625868,0.41041913352507164,0.30576452575478336
ABT,anger,text,-0.02146299272849701,-0.2886595794916388,0.2457335940346448,0.8741152434831243
ABT,sadness,audio,-0.15145362429898485,-0.4189974652492313,0.11609021665126162,0.261683865558445
ABT,sadness,text,-0.21497353031774388,-0.48287647746961926,0.05292941683413152,0.11185568891943501
ABT,fear,audio,-0.00854202861108323,-0.2757326219563955,0.25864856473422904,0.951403294876821
ABT,fear,text,-0.1691930525027793,-0.4368246969624632,0.09843859195690455,0.22501457011017112
GILD,happy,audio,-0.09314944783006607,-0.4375307378342162,0.25123184217408406,0.6021426081513795
GILD,happy,text,-0.06383311180837427,-0.408116044990695,0.2804498213739465,0.7180463825774923
GILD,neutral,audio,-0.1284973984716817,-0.47304606773321023,0.2160512707898468,0.4554210701747955
GILD,neutral,text,0.14165197814459557,-0.20297258442026578,0.4862765407094569,0.42798587638616553
GILD,surprise,audio,0.004609323523752381,-0.33958695703486297,0.3488056040823677,0.978931306881056
GILD,surprise,text,0.10431249271698609,-0.24011589694388755,0.4487408823778597,0.5397320675929048
GILD,disgust,audio,0.07875973815800626,-0.2655686871405719,0.4230881634565844,0.6491090809651717
